id,Pre-Complete,Post-Complete,Both Complete,Pre-Duration (in seconds),Subspecialty,Year,PreQ1,PreQ2,PreQ3,PreQ4,PreQ5,Post-Progress,Post-Duration (in seconds),Post-Finished,Post-Complete,Post-Please select your gender:,PostQ1,PostQ2,PostQ3,PostQ4,PostQ5
1,Yes,No,,1052,Emergency medicine,5,d) Levofloxacin,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,b) 5 days,,,,,,,,,,
2,Yes,Yes,1,1045,Emergency medicine,4,d) Levofloxacin,c) Meropenem,b) Amoxicillin,c) Nitrofurantoin,a) 7 days,100,778,TRUE,Yes,Male,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,a) 7 days
3,Yes,No,,14821,Infectious disease,1,b) Linezolid,c) Meropenem,"a)	Penicillin",c) Nitrofurantoin,a) 7 days,,,,,,,,,,
4,Yes,Yes,1,1602,Infectious disease,2,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,b) 5 days,100,606,TRUE,Yes,Female,b) Linezolid,c) Meropenem,"a)	Penicillin",d) Ciprofloxacin,a) 7 days
5,Yes,Yes,1,2580,Infectious disease,2,d) Levofloxacin,a) Cefazolin,c) Cefuroxime,c) Nitrofurantoin,a) 7 days,100,2499,TRUE,Yes,Male,d) Levofloxacin,c) Meropenem,b) Amoxicillin,c) Nitrofurantoin,a) 7 days
6,Yes,Yes,1,2625,Infectious disease,5,b) Linezolid,a) Cefazolin,d) Doxycycline,c) Nitrofurantoin,b) 5 days,100,1800,TRUE,Yes,Female,a) Ceftriaxone,c) Meropenem,c) Cefuroxime,c) Nitrofurantoin,b) 5 days
7,Yes,Yes,1,3058,Infectious disease,6,b) Linezolid,b) Clindamycin,b) Amoxicillin,c) Nitrofurantoin,b) 5 days,100,14602,TRUE,Yes,Female,b) Linezolid,c) Meropenem,"a)	Penicillin",c) Nitrofurantoin,b) 5 days
8,Yes,No,,981,Infectious disease,5,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,a) 7 days,,,,,,,,,,
9,Yes,No,,797,Infectious disease,1,d) Levofloxacin,c) Meropenem,b) Amoxicillin,d) Ciprofloxacin,b) 5 days,,,,,,,,,,
10,Yes,Yes,1,1082,Internal medicine,4,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,a) 7 days,100,798,TRUE,Yes,Male,d) Levofloxacin,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,a) 7 days
11,Yes,Yes,1,990,Internal medicine,6,b) Linezolid,c) Meropenem,"a)	Penicillin",c) Nitrofurantoin,b) 5 days,100,1294,TRUE,Yes,Male,b) Linezolid,c) Meropenem,d) Doxycycline,d) Ciprofloxacin,b) 5 days
12,Yes,No,,1053,Internal medicine,5,d) Levofloxacin,d) Linezolid,b) Amoxicillin,d) Ciprofloxacin,a) 7 days,,,,,,,,,,
13,Yes,Yes,1,421,Internal medicine,5,b) Linezolid,c) Meropenem,d) Doxycycline,b) Piperacillin-Tazobactam,a) 7 days,100,4869,TRUE,Yes,Male,b) Linezolid,c) Meropenem,d) Doxycycline,d) Ciprofloxacin,b) 5 days
14,Yes,Yes,1,976,Obstetrics/Gynecology,4,b) Linezolid,c) Meropenem,b) Amoxicillin,d) Ciprofloxacin,a) 7 days,100,436,TRUE,Yes,Male,b) Linezolid,c) Meropenem,c) Cefuroxime,d) Ciprofloxacin,b) 5 days
15,Yes,Yes,1,356,Obstetrics/Gynecology,3,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,a) 7 days,100,434,TRUE,Yes,Male,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,a) 7 days
16,Yes,No,,4260,Obstetrics/Gynecology,5,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,b) 5 days,,,,,,,,,,
17,Yes,No,,12037,Obstetrics/Gynecology,4,d) Levofloxacin,d) Linezolid,d) Doxycycline,d) Ciprofloxacin,a) 7 days,,,,,,,,,,
18,Yes,No,,12842,Obstetrics/Gynecology,2,d) Levofloxacin,c) Meropenem,d) Doxycycline,b) Piperacillin-Tazobactam,b) 5 days,,,,,,,,,,
19,Yes,Yes,1,463,Obstetrics/Gynecology,4,b) Linezolid,c) Meropenem,d) Doxycycline,d) Ciprofloxacin,a) 7 days,100,301,TRUE,Yes,Male,b) Linezolid,c) Meropenem,"a)	Penicillin",d) Ciprofloxacin,a) 7 days
20,Yes,Yes,1,161,Pediatrics,2,b) Linezolid,c) Meropenem,d) Doxycycline,d) Ciprofloxacin,a) 7 days,100,96,TRUE,Yes,Male,b) Linezolid,a) Cefazolin,b) Amoxicillin,a) Levofloxacin,a) 7 days
21,Yes,No,,490,Pediatrics,5,b) Linezolid,c) Meropenem,c) Cefuroxime,c) Nitrofurantoin,d) 10 days,,,,,,,,,,
22,Yes,No,,8487,Pediatrics,6,b) Linezolid,c) Meropenem,d) Doxycycline,d) Ciprofloxacin,c) 14 days,,,,,,,,,,
23,Yes,Yes,1,1152,Pediatrics,5,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,a) 7 days,100,925,TRUE,Yes,Female,b) Linezolid,d) Linezolid,b) Amoxicillin,c) Nitrofurantoin,a) 7 days
24,Yes,Yes,1,1629,Pediatrics,5,b) Linezolid,c) Meropenem,c) Cefuroxime,d) Ciprofloxacin,a) 7 days,100,2944,TRUE,Yes,Male,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,a) 7 days
25,Yes,Yes,1,2208,Pediatrics,5,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,b) 5 days,100,5015,TRUE,Yes,Female,b) Linezolid,a) Cefazolin,d) Doxycycline,c) Nitrofurantoin,b) 5 days
26,Yes,Yes,1,1616,Pediatrics,4,b) Linezolid,c) Meropenem,"a)	Penicillin",c) Nitrofurantoin,b) 5 days,100,593,TRUE,Yes,Female,b) Linezolid,c) Meropenem,"a)	Penicillin",c) Nitrofurantoin,a) 7 days
27,Yes,Yes,1,1169,Pediatrics,2,b) Linezolid,c) Meropenem,b) Amoxicillin,d) Ciprofloxacin,a) 7 days,100,2410,TRUE,Yes,Female,b) Linezolid,c) Meropenem,d) Doxycycline,d) Ciprofloxacin,b) 5 days
28,Yes,Yes,1,3004,Pediatrics,5,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,d) 10 days,100,490,TRUE,Yes,Female,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,a) 7 days
29,Yes,Yes,1,1123,Pediatrics,1,d) Levofloxacin,c) Meropenem,c) Cefuroxime,c) Nitrofurantoin,c) 14 days,100,409,TRUE,Yes,Female,d) Levofloxacin,b) Clindamycin,b) Amoxicillin,d) Ciprofloxacin,d) 10 days
30,Yes,Yes,1,785,Pediatrics,5,b) Linezolid,b) Clindamycin,d) Doxycycline,c) Nitrofurantoin,d) 10 days,100,837,TRUE,Yes,Female,b) Linezolid,c) Meropenem,b) Amoxicillin,c) Nitrofurantoin,d) 10 days
31,Yes,No,,1639,Pediatrics,3,a) Ceftriaxone,c) Meropenem,"a)	Penicillin",c) Nitrofurantoin,a) 7 days,,,,,,,,,,
32,Yes,No,,2063,Pediatrics,6,b) Linezolid,b) Clindamycin,c) Cefuroxime,d) Ciprofloxacin,c) 14 days,,,,,,,,,,
33,Yes,No,,269,Pharmacy Graduate,6,a) Ceftriaxone,c) Meropenem,c) Cefuroxime,c) Nitrofurantoin,a) 7 days,,,,,,,,,,
34,Yes,Yes,1,3817,Pharmacy Graduate,6,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,d) 10 days,100,767,TRUE,Yes,Female,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,a) 7 days
35,Yes,Yes,1,1377,Pharmacy Graduate,3,d) Levofloxacin,c) Meropenem,c) Cefuroxime,c) Nitrofurantoin,a) 7 days,100,460,TRUE,Yes,Female,a) Ceftriaxone,c) Meropenem,c) Cefuroxime,c) Nitrofurantoin,d) 10 days
36,Yes,Yes,1,591,Pharmacy Graduate,1,b) Linezolid,b) Clindamycin,"a)	Penicillin",c) Nitrofurantoin,d) 10 days,100,805,TRUE,Yes,Male,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,a) 7 days
37,Yes,No,,11207,Pharmacy Graduate,6,d) Levofloxacin,b) Clindamycin,"a)	Penicillin",d) Ciprofloxacin,c) 14 days,29,48,FALSE,No,Female,,,,,
38,Yes,Yes,1,3773,Pharmacy Graduate,2,d) Levofloxacin,c) Meropenem,"a)	Penicillin",c) Nitrofurantoin,d) 10 days,100,3223,TRUE,Yes,Male,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,d) 10 days
39,Yes,Yes,1,2236,Pharmacy Graduate,2,a) Ceftriaxone,c) Meropenem,d) Doxycycline,d) Ciprofloxacin,c) 14 days,100,7371,TRUE,Yes,Female,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,c) 14 days
40,Yes,Yes,1,1499,Pharmacy Graduate,6,d) Levofloxacin,c) Meropenem,c) Cefuroxime,c) Nitrofurantoin,d) 10 days,100,8573,TRUE,Yes,Female,b) Linezolid,c) Meropenem,"a)	Penicillin",d) Ciprofloxacin,a) 7 days
41,Yes,Yes,1,891,Pharmacy Graduate,5,d) Levofloxacin,b) Clindamycin,d) Doxycycline,c) Nitrofurantoin,a) 7 days,100,535345,TRUE,Yes,Female,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,b) 5 days
42,Yes,No,,15435,Pharmacy Graduate,3,d) Levofloxacin,b) Clindamycin,"a)	Penicillin",c) Nitrofurantoin,a) 7 days,,,,,,,,,,
43,Yes,No,,520,Pharmacy Graduate,2,b) Linezolid,c) Meropenem,d) Doxycycline,b) Piperacillin-Tazobactam,c) 14 days,,,,,,,,,,
44,Yes,No,,636,Pharmacy Graduate,2,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,d) 10 days,,,,,,,,,,
45,Yes,No,,1063,Pharmacy Graduate,1,b) Linezolid,c) Meropenem,"a)	Penicillin",d) Ciprofloxacin,a) 7 days,,,,,,,,,,
46,Yes,No,,11071,Pharmacy Graduate,2,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,b) 5 days,,,,,,,,,,
47,Yes,Yes,1,1300,Pharmacy Graduate,1,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,c) 14 days,100,250324,TRUE,Yes,Female,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,a) 7 days
48,Yes,Yes,1,771,Pharmacy Graduate,5,b) Linezolid,c) Meropenem,d) Doxycycline,d) Ciprofloxacin,c) 14 days,100,495,TRUE,Yes,Female,b) Linezolid,b) Clindamycin,d) Doxycycline,d) Ciprofloxacin,c) 14 days
49,Yes,Yes,1,1572,Pharmacy undergraduate,5,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,b) 5 days,100,1940,TRUE,Yes,Male,d) Levofloxacin,d) Linezolid,d) Doxycycline,c) Nitrofurantoin,b) 5 days
50,Yes,Yes,1,111914,Pharmacy undergraduate,5,b) Linezolid,c) Meropenem,d) Doxycycline,b) Piperacillin-Tazobactam,b) 5 days,100,649,TRUE,Yes,Male,b) Linezolid,c) Meropenem,b) Amoxicillin,b) Piperacillin-Tazobactam,a) 7 days
51,Yes,Yes,1,549,Pharmacy undergraduate,5,b) Linezolid,c) Meropenem,d) Doxycycline,d) Ciprofloxacin,d) 10 days,100,749,TRUE,Yes,Male,b) Linezolid,c) Meropenem,c) Cefuroxime,a) Levofloxacin,b) 5 days
52,Yes,Yes,1,848,Pharmacy undergraduate,4,b) Linezolid,c) Meropenem,d) Doxycycline,d) Ciprofloxacin,d) 10 days,100,488,TRUE,Yes,Female,b) Linezolid,c) Meropenem,"a)	Penicillin",d) Ciprofloxacin,d) 10 days
53,Yes,Yes,1,349,Pharmacy undergraduate,2,b) Linezolid,c) Meropenem,b) Amoxicillin,d) Ciprofloxacin,c) 14 days,100,411,TRUE,Yes,Male,b) Linezolid,c) Meropenem,"a)	Penicillin",d) Ciprofloxacin,a) 7 days
54,Yes,Yes,1,1500,Pharmacy undergraduate,2,a) Ceftriaxone,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,d) 10 days,100,2181,TRUE,Yes,Female,b) Linezolid,c) Meropenem,d) Doxycycline,d) Ciprofloxacin,b) 5 days
55,Yes,Yes,1,181780,Pharmacy undergraduate,1,d) Levofloxacin,c) Meropenem,"a)	Penicillin",b) Piperacillin-Tazobactam,d) 10 days,100,2157,TRUE,Yes,Female,a) Ceftriaxone,c) Meropenem,c) Cefuroxime,b) Piperacillin-Tazobactam,c) 14 days
56,Yes,Yes,1,3259,Pharmacy undergraduate,5,b) Linezolid,b) Clindamycin,d) Doxycycline,c) Nitrofurantoin,c) 14 days,100,1407,TRUE,Yes,Male,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,c) 14 days
57,Yes,No,,655,Pharmacy undergraduate,4,b) Linezolid,b) Clindamycin,d) Doxycycline,d) Ciprofloxacin,a) 7 days,,,,,,,,,,
58,Yes,No,,850,Pharmacy undergraduate,6,d) Levofloxacin,c) Meropenem,c) Cefuroxime,d) Ciprofloxacin,c) 14 days,,,,,,,,,,
59,Yes,No,,1180,Pharmacy undergraduate,6,a) Ceftriaxone,c) Meropenem,"a)	Penicillin",c) Nitrofurantoin,a) 7 days,29,56,FALSE,No,Male,,,,,
60,Yes,Yes,1,735,Pharmacy undergraduate,2,a) Ceftriaxone,c) Meropenem,c) Cefuroxime,c) Nitrofurantoin,d) 10 days,100,2820,TRUE,Yes,Male,b) Linezolid,c) Meropenem,c) Cefuroxime,c) Nitrofurantoin,b) 5 days
61,Yes,Yes,1,640,Pharmacy undergraduate,6,a) Ceftriaxone,c) Meropenem,c) Cefuroxime,c) Nitrofurantoin,c) 14 days,100,443,TRUE,Yes,Male,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,c) 14 days
62,Yes,Yes,1,4386,Pharmacy undergraduate,1,b) Linezolid,c) Meropenem,c) Cefuroxime,c) Nitrofurantoin,a) 7 days,100,2330,TRUE,Yes,Female,b) Linezolid,c) Meropenem,b) Amoxicillin,c) Nitrofurantoin,b) 5 days
63,Yes,Yes,1,926,Pharmacy undergraduate,4,d) Levofloxacin,c) Meropenem,"a)	Penicillin",c) Nitrofurantoin,d) 10 days,100,366,TRUE,Yes,Male,b) Linezolid,c) Meropenem,b) Amoxicillin,c) Nitrofurantoin,b) 5 days
64,Yes,No,,2413,Pharmacy undergraduate,2,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,b) 5 days,,,,,,,,,,
65,Yes,No,,384,Surgery,5,a) Ceftriaxone,c) Meropenem,b) Amoxicillin,c) Nitrofurantoin,a) 7 days,,,,,,,,,,
66,Yes,Yes,1,91473,Surgery,5,b) Linezolid,c) Meropenem,b) Amoxicillin,c) Nitrofurantoin,a) 7 days,100,2375,TRUE,Yes,Male,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,b) 5 days
